date,day_of_year,daily_lai
2019-08-11,223,4.9
2019-08-12,224,4.9
2019-08-13,225,4.9
2019-08-14,226,4.9
2019-08-15,227,4.9
2019-08-16,228,4.9
2019-08-17,229,4.9
2019-08-18,230,4.9
2019-08-19,231,4.9
2019-08-20,232,4.9
2019-08-21,233,4.9
2019-08-22,234,4.9
2019-08-23,235,4.9
2019-08-24,236,4.9
2019-08-25,237,4.9
2019-08-26,238,4.9
2019-08-27,239,4.9
2019-08-28,240,4.9
2019-08-29,241,4.9
2019-08-30,242,4.9
2019-08-31,243,4.9
2019-09-01,244,4.9
2019-09-02,245,4.9
2019-09-03,246,4.9
2019-09-04,247,4.9
2019-09-05,248,4.9
2019-09-06,249,4.9
2019-09-07,250,4.9
2019-09-08,251,4.9
2019-09-09,252,4.9
2019-09-10,253,4.9
2019-09-11,254,4.9
2019-09-12,255,4.9
2019-09-13,256,4.9
2019-09-14,257,4.9
2019-09-15,258,4.9
2019-09-16,259,4.9
2019-09-17,260,4.9
2019-09-18,261,4.9
2019-09-19,262,4.9
2019-09-20,263,4.9
2019-09-21,264,4.9
2019-09-22,265,4.9
2019-09-23,266,4.9
2019-09-24,267,4.9
2019-09-25,268,4.9
2019-09-26,269,4.9
2019-09-27,270,4.9
2019-09-28,271,4.9
2019-09-29,272,4.9
2019-09-30,273,4.9
2019-10-01,274,4.9
2019-10-02,275,4.9
2019-10-03,276,4.9
2019-10-04,277,4.9
2019-10-05,278,4.9
2019-10-06,279,4.9
2019-10-07,280,4.9
2019-10-08,281,4.9
2019-10-09,282,4.9
2019-10-10,283,4.9
2019-10-11,284,4.9
2019-10-12,285,4.9
2019-10-13,286,4.9
2019-10-14,287,4.9
2019-10-15,288,4.9
2019-10-16,289,4.9
2019-10-17,290,4.9
2019-10-18,291,4.9
2019-10-19,292,4.9
2019-10-20,293,4.9
2019-10-21,294,4.9
2019-10-22,295,4.9
2019-10-23,296,4.9
2019-10-24,297,4.9
2019-10-25,298,4.9
2019-10-26,299,4.9
2019-10-27,300,4.9
2019-10-28,301,4.9
2019-10-29,302,4.9
2019-10-30,303,4.9
2019-10-31,304,4.9
2019-11-01,305,4.9
2019-11-02,306,4.9
2019-11-03,307,4.9
2019-11-04,308,4.9
2019-11-05,309,4.9
2019-11-06,310,4.9
2019-11-07,311,4.9
2019-11-08,312,4.9
2019-11-09,313,4.9
2019-11-10,314,4.9
2019-11-11,315,4.9
2019-11-12,316,4.9
2019-11-13,317,4.9
2019-11-14,318,4.9
2019-11-15,319,4.9
2019-11-16,320,4.9
2019-11-17,321,4.9
2019-11-18,322,4.9
2019-11-19,323,4.9
2019-11-20,324,4.9
2019-11-21,325,2.45
2019-11-22,326,2.001851005679378
2019-11-23,327,1.5827203044312375
2019-11-24,328,1.2145673539461064
2019-11-25,329,0.9085943545356131
2019-11-26,330,0.6657771953445619
2019-11-27,331,0.48004714105801444
2019-11-28,332,0.34194543609524247
2019-11-29,333,0.2414034298117306
2019-11-30,334,0.16932552840275492
2019-12-01,335,0.11822240494657907
2019-12-02,336,0.08227417562538772
2019-12-03,337,0.05712624111868223
2019-12-04,338,0.03960184226409445
2019-12-05,339,0.027422895200490034
2019-12-06,340,0.018974776859288056
2019-12-07,341,0.013122245012444274
2019-12-08,342,0.009071498287909584
2019-12-09,343,0.0062695849588687656
2019-12-10,344,0.004332331906731136
2019-12-11,345,0.002993308861228565
2019-12-12,346,0.0020679718822003918
2019-12-13,347,0.0014286056368090088
2019-12-14,348,9.86875942005322e-4
2019-12-15,349,6.81711555067135e-4
2019-12-16,350,4.709018359474224e-4
2019-12-17,351,3.2527773208637265e-4
2019-12-18,352,2.2468510934001252e-4
2019-12-19,353,1.5519991950975636e-4
2019-12-20,354,0
2019-12-21,355,0
2019-12-22,356,0
2019-12-23,357,0
2019-12-24,358,0
2019-12-25,359,0
2019-12-26,360,0
2019-12-27,361,0
2019-12-28,362,0
2019-12-29,363,0
2019-12-30,364,0
2019-12-31,365,0
