"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-03","8.50"," 0920","0.07",,"40","31","  180","  200","21.0","27.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-04","14.76"," 1008","0.01",,"32","25","   10","  360","28.0","38.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-05","2.24"," 1825","0.00",,"33","21","   10","   40","6.9","8.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-06","2.01"," 1321","0.00",,"35","21","   60","   50","6.9","11.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-07","1.57"," 1354","0.00",,"38","23","  350","   10","6.9","8.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-08","5.37"," 1241","0.51",,"36","30","  220","  190","14.1","18.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-09","16.78"," 1450",,,"31","27","  360","  350","25.9","38.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-10","10.51"," 1945","0.07",,"34","17","  190","  180","28.0","38.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-11","5.59"," 2104","1.28",,"37","29","  190","  180","18.1","25.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-12","9.40"," 1857","0.56",,"38","36","  190","  200","17.0","25.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-13","6.04"," 1327","0.00",,"38","32","   10","   10","13.0","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-14","7.83"," 1215","0.25",,"44","33","  360","  350","18.1","23.9","    1",,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-15","5.37"," 1021","0.03",,"46","37","  190","  190","18.1","25.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-16","4.47"," 2017","0.06",,"43","35","  200","  210","12.1","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-17","2.01"," 1140","0.01",,"40","31","  260","  180","6.9","8.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-18","4.03"," 2207","0.00",,"44","35","  190","  210","8.9","12.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-19","8.95"," 1827","0.01",,"42","38","  200","  210","17.0","23.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-20","5.82"," 1448","0.04",,"41","36","  360","  360","18.1","21.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-21","5.14"," 0319","0.00",,"45","34","   10","   10","15.0","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-22","11.86"," 1140","0.12",,"41","34","  190","  190","23.0","33.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-23","6.04"," 1230","0.01",,"45","35","  190","  190","15.0","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-24","5.37"," 2007","0.19",,"40","33","   10","   10","12.1","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-25","11.41"," 1141","0.00",,"42","34","  350","  360","21.9","28.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-26","9.84"," 2003","0.00",,"41","30","   40","   40","21.0","36.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-27","8.50"," 0135","0.00",,"41","33","   20","   20","19.9","33.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-28","2.01"," 1755","0.00",,"46","27","  190","  200","13.0","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-01","5.37"," 1032","0.00",,"48","34","  350","  360","13.0","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-02","10.29"," 1802","0.00",,"48","33","  360","   10","18.1","25.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-03","8.05"," 0719","0.00",,"45","33","  360","   30","14.1","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-04","7.61"," 1841","0.00",,"43","28","   10","  360","14.1","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-05","7.61"," 1742","0.00",,"47","26","  360","   10","16.1","25.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-06","7.61"," 2334","0.22",,"39","32","  190","  180","16.1","23.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-07","9.62"," 0913","0.08",,"43","33","  190","  190","17.0","23.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-08","1.79"," 1642","0.12",,"38","29","  330","  340","6.9","8.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-09","4.70"," 1305","0.00",,"45","30","  360","  360","13.0","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-10","1.79"," 1544","0.00",,"50","28","   50","   70","6.9","10.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-11","5.82"," 1626","0.38",,"50","30","  230","  230","16.1","25.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-12","3.58"," 1417","0.30",,"47","37","   30","   50","8.9","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-13","3.36"," 1124","0.00",,"51","35","  240","  190","8.1","12.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-14","2.01"," 1710","0.00",,"52","37","  240","  240","8.1","12.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-15","3.13"," 2335","0.00",,"56","36","   10","   10","12.1","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-16","3.36"," 0356","0.00",,"57","39","   10","   20","8.9","13.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-17","8.05"," 2305","0.00",,"60","38","   10","   10","16.1","23.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-18","7.83"," 0000","0.00",,"70","44","   10","   10","16.1","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-19","4.70"," 1551","0.00",,"76","45","   20","   10","12.1","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-20","5.59"," 1107","0.00",,"74","45","  340","   10","13.0","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-21","6.49"," 1550","0.00",,"57","43","  230","  250","13.0","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-22","4.70"," 1420","0.00",,"60","41","  180","  160","21.9","30.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-23","2.01"," 1520","0.00",,"57","41","  270","  270","8.1","11.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-24","2.46"," 2353","0.00",,"57","39","   30","   50","6.0","8.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-25","6.71"," 1945","0.27",,"52","41","  190","  190","18.1","25.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-26","6.93"," 2226","0.05",,"56","41","  360","  360","17.0","23.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-27","11.41"," 0806","0.02",,"55","43","   10","  360","25.9","36.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-28","2.91"," 1940","0.00",,"61","39","   10","   10","8.9","12.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-29","2.24"," 1624","0.00",,"59","41","  260","   80","8.1","12.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-30","3.36"," 1605","0.00",,"62","39","   10","   50","8.1","10.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-03-31","5.37"," 2057","0.00",,"64","39","   10","   20","12.1","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-01","6.04"," 0939","0.00",,"66","45","  360","  360","14.1","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-02","5.82"," 0507","0.00",,"64","50","   10","   10","14.1","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-03","7.83"," 0948","0.07",,"57","44","  190","  190","18.1","25.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-04","2.91"," 1354","0.10",,"61","39","  210","  310","8.1","11.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-05","6.71"," 1422","0.31",,"53","44","  200","  240","21.0","29.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-06","5.82"," 0946","0.36",,"56","43","  180","  180","25.9","36.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-07","3.80"," 0305","0.30",,"53","42","  350","  340","13.0","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-08","3.58"," 1505","0.11",,"59","45","  200","  210","8.9","13.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-09","8.28"," 1601","0.05",,"59","45","  210","  200","17.0","23.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-10","10.96"," 1313","0.02",,"52","44","  190","  190","19.9","25.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-11","8.95"," 1544","0.02",,"53","46","  190","  190","15.0","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-12","3.13"," 2033","0.15",,"59","47","  220","  220","10.1","15.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-13","12.97"," 1439","0.26",,"50","43","  190","  200","25.1","33.1","    1",,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-14","10.29"," 1226","0.05",,"50","41","  220","  220","18.1","25.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-15","4.25"," 1333","0.01",,"55","40","  190","  350","12.1","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-16","4.70"," 2341","0.20",,"55","44","  190","  180","12.1","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-17","6.93"," 1315","0.02",,"62","47","  190","  180","15.0","21.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-18","3.80"," 1904","0.05",,"62","50","  190","  210","10.1","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-19","4.03"," 1036","0.10",,"56","50","  220","  200","10.1","13.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-20","4.92"," 0853","0.01",,"58","47","  360","   10","14.1","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-21","5.14"," 1221","0.00",,"60","45","  180","  210","10.1","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-22","5.37"," 1222","0.10",,"58","43","  260","  270","14.1","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-23","6.49"," 1403","0.00",,"60","47","  240","  230","14.1","21.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-24","5.14"," 2036","0.00",,"59","41","  360","  360","14.1","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-25","6.49"," 1210","0.00",,"59","45","  360","  360","16.1","21.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-26","7.83"," 1747","0.00",,"62","44","  220","  210","16.1","23.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-27","6.26"," 1543","0.00",,"56","40","   30","   40","17.0","23.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-28","6.93"," 1713","0.00",,"59","36","  350","  360","19.9","25.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-29","8.72"," 1630","0.00",,"62","45","   10","  360","18.1","23.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-04-30","4.92"," 1131","0.00",,"64","39","   10","   30","14.1","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-01","10.07"," 1452","0.00",,"62","43","  230","  240","16.1","23.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-02","8.05"," 0501","0.00",,"59","45","  200","  200","16.1","21.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-03","4.70"," 2154","0.00",,"61","41","  360","   20","12.1","15.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-04","4.92"," 0827","0.00",,"65","43","   10","   10","13.0","18.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-05","4.25"," 1646","0.00",,"68","46","   20","   60","13.0","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-06","4.47"," 2035","0.00",,"72","46","   20","   20","12.1","15.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-07","4.03"," 0947","0.00",,"71","48","   10","   10","13.0","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-08","5.59"," 2020","0.00",,"72","48","   20","   30","13.0","15.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-09","8.50"," 0747","0.00",,"80","56","   20","   20","17.0","23.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-10","3.13"," 1236","0.00",,"81","49","   20","   10","13.0","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-11","6.26"," 1849","0.00",,"79","52","  240","  230","16.1","23.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-12","5.82"," 0041","0.00",,"67","49","  180","  230","12.1","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-13","4.92"," 1317","0.00",,"66","44","  300","  280","10.1","13.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-14","5.37"," 1214","0.14",,"60","49","  200","  190","15.0","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-15","4.03"," 1114","0.03",,"62","49","   20","  350","14.1","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-16","5.59"," 2203","0.04",,"61","51","  210","  210","19.9","27.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-17","8.50"," 0310","0.01",,"62","51","  220","  220","17.0","25.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-18","4.92"," 2049","0.00",,"70","50","  210","  230","17.0","21.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-19","4.92"," 1721","0.02",,"67","51","  240","  260","12.1","18.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-20","6.04"," 1056","0.04",,"55","50","  190","  240","10.1","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-21","5.37"," 1156","0.01",,"61","49","   20","   10","17.0","23.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-22","3.58"," 2023","0.00",,"71","47","  280","  290","10.1","13.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-23","4.70"," 2218","0.00",,"75","51","  230","  230","13.0","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-24","9.17"," 0325","0.00",,"59","51","  210","  210","17.0","23.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-25","7.16"," 0959","0.23",,"53","49","   20","  200","14.1","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-26","5.82"," 1751","0.00",,"69","49","   10","   20","14.1","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-27","5.59"," 2058","0.00",,"75","51","  240","  240","13.0","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-28","5.37"," 2007","0.00",,"65","51","  210","  280","10.1","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-29","4.47"," 1301","0.00",,"67","51","  270","  310","8.1","13.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-30","3.36"," 2329","0.00",,"74","50","  260","  270","8.9","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-05-31","3.13"," 2359","0.00",,"75","52","  280","  290","8.9","12.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-01","3.80"," 0013","0.00",,"74","50","  280","  270","8.9","11.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-02","5.82"," 1512","0.00",,"74","50","  240","  240","13.0","18.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-03","4.92"," 1950","0.00",,"67","51","   20","   20","10.1","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-04","4.03"," 1134","0.00",,"71","47","  230","  240","8.9","15.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-05","7.38"," 1836","0.00",,"64","48","  250","  250","15.0","21.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-06","8.72"," 1828","0.00",,"63","48","  270","  270","16.1","25.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-07","9.17"," 1444","0.06",,"60","48","  220","  210","19.9","29.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-08","5.82"," 2221","0.00",,"67","49","   10","   10","10.1","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-09","6.71"," 1915","0.00",,"70","48","   20","   30","15.0","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-10","7.16"," 1524","0.00",,"75","50","   20","   20","15.0","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-11","9.62"," 2052","0.00",,"81","58","   20","   10","18.1","23.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-12","4.25"," 0818","0.00",,"91","63","   20","   20","12.1","15.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-13","7.16"," 1803","0.00",,"77","54","  250","  220","16.1","23.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-14","5.37"," 1302","0.00",,"66","52","  220","  200","12.1","15.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-15","3.58"," 1022","0.00",,"72","49","  280","  310","8.1","11.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-16","4.03"," 1555","0.00",,"75","52","  260","  250","8.1","11.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-17","5.82"," 2047","0.00",,"73","54","  240","  220","12.1","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-18","6.93"," 2135","0.02",,"68","52","  240","  240","13.0","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-19","8.28"," 1608","0.00",,"68","51","  230","  230","19.9","27.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-20","6.93"," 2133","0.02",,"66","48","  210","  240","15.0","23.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-21","7.38"," 0238","0.00",,"68","52","  200","  210","13.0","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-22","6.04"," 0307","0.00",,"65","51","  180","  200","10.1","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-23","6.26"," 1555","0.00",,"67","52","  240","  270","13.0","19.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-24","3.80"," 1334","0.00",,"67","51","   20","  280","8.9","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-25","4.70"," 1511","0.00",,"71","48","  200","  190","13.0","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-26",," 1552","0.00",,"71","51","   40","  130","10.1","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-27","7.38"," 1432","0.04",,"68","53","  180","  170","15.0","19.9","    1",,"    1",
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-28","5.14"," 1517","0.00",,"70","50","  260","  280","10.1","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-29","4.47"," 1943","0.00",,"74","51","   20","   30","13.0","17.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-06-30","4.92"," 1553","0.00",,"77","52","   20","   30","15.0","18.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-07-01","6.26"," 1956","0.00",,"76","54","  230","  230","16.1","21.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-07-02","7.38"," 0335","0.08",,"61","55","  200","  210","16.1","19.9","    1",,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-07-03","3.58"," 1207","0.00",,"69","54","  180","  190","8.9","12.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-07-04","4.25"," 1444","0.00",,"73","53","  290","  280","10.1","15.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-07-05","5.82"," 1602","0.00",,"69","55","  210","  230","12.1","18.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-07-06","5.82"," 1403","0.00",,"70","55","  190","  210","14.1","18.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-07-07","5.82"," 1035","0.00",,"67","55","  190","  170","10.1","13.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-07-08","2.91"," 1656","0.00",,"74","56","  310","  280","10.1","15.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-07-09","2.01"," 2215","0.18",,"72","55","  200","  200","8.1","10.1","    1",,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-07-10","3.58"," 1256","0.26",,"69","60","  210","  200","10.1","14.1","    1",,,
